Feature,Mean,Standard Deviation
num_vertices,5.956619296933433,2.1964961421170726
iso_q,0.6747973004796811,0.1097070945889859
fractal,1.0354484881096953,0.037200649059183945
eri,0.9719947188884854,0.062153175788633934
convexity,0.9740893906183947,0.0585289386231911
area_in_me,133.12373650199956,188.59627418473318
corners,4.948765893792072,2.183776186358226
average_distance,15.928027204660877,7.897266968065228
neighbors_within_50m,38.55646970830217,20.71453564381027
first_neighbor,10.157830235783026,5.77567281221329
distance_to_nearest_road,10.543604719830187,13.899163772689052
centroid_elevation,1594.7049364248317,135.95084712047426
orientation,18.912472682735913,13.008799668697021
street_alignment,7.039847539051229,8.488373014683344
ccd_means,7.831785170941284,4.088625383933743
ccd_stdev,0.6829756403810135,1.3965045097699107
cwa,7.819723677129272,7.482883873891232
elongation,0.6243733406642379,0.21436169082490522
squ_comp,0.859178607651266,0.13968341116869784
squareness,0.137314214489884,1.1750707797112863
perimeter,46.305308026278944,26.294006865496492
average_alignment,4.456540310814306,5.1267111085782675
first_neighbor_alignment,3.6664146341577393,6.110939236229094
