system_ind,tag,num_vertices,iso_q,fractal,eri,convexity,area_in_me,corners,average_distance,neighbors_within_50m,first_neighbor,distance_to_nearest_road,centroid_elevation,orientation,street_alignment,ccd_means,ccd_stdev,cwa,elongation,squ_comp,squareness,perimeter,average_alignment,first_neighbor_alignment
0028000000000000873b,Tier 2,5,0.7269234794140959,1.0181563814706927,0.9999639074863227,1.0,71.17559519249279,4,21.760518494672187,16,12.959410187728993,4.101355671359091,1561,6.496882960481685,17.898298311942483,6.415136912855477,0.004435649007914209,4.463878181483403,0.571416573675417,0.925547719986504,0.08644286931716749,35.00964550116445,19.315895476990615,37.940883724008856
0028000000000000873c,Tier 4,5,0.7758930622340463,1.0037220920127075,1.0001977185295208,1.0,26.4418917136911,4,45.03624206050611,3,15.529297722127788,0.0,1532,39.45794777549344,5.0913543778239045,3.6735804245299972,0.01154668599049754,2.1030122124004866,0.7989312541768365,0.9878977293220483,0.36730959324235,20.656603981855923,16.510660822800773,4.0831975336826645
0028000000000000873e,Tier 1,5,0.7834997657993404,1.0004868467127341,1.000089116194505,1.0,144.65328592459315,4,22.716747140261084,21,19.366059950612215,21.30359115637528,1580,19.23037035179351,11.14198074762379,8.510154230633237,0.018697540205735688,4.702044734971374,0.9030580526348974,0.9975828851064589,0.25237088688891873,48.082976716028064,10.387109894138234,11.151909666111521
0028000000000000873f,Tier 1,5,0.7736878647872076,1.0038936045177762,1.0001350656065418,1.0,47.52452662215555,4,35.280700931145226,14,31.376498096970348,22.34283398754946,1595,12.374449249770123,12.744274507365873,4.940326382778204,0.0077624700772598995,2.8515116917323646,0.7806407755024226,0.9850899847287844,0.18271642110124375,27.740770498499458,5.192175909598987,0.17316151049769246
00280000000000008740,Tier 4,5,0.7624321520830291,1.0071680127269445,1.0003332996619776,0.9999999999999999,63.01542282907504,4,27.093471979063924,12,17.664158399239554,30.343974875837677,1561,42.27063189884535,1.0476923141168015,5.770620087162682,0.01819334558842838,3.5019910500539297,0.7052020837286841,0.9707587662096463,0.38240739277243563,32.17700599476811,4.58475404406432,2.5986665068279535
00280000000000008743,Tier 2,5,0.7133499478536314,1.0300150120946936,0.9998753850681786,0.9999999999999999,24.777664679974706,4,10.43827712921742,88,8.226162994561136,1.5464641615988157,2019,11.351501552070602,1.3324554315250907,3.850725693515919,0.0027162198007441283,2.812793737439319,0.53550478299568,0.9082653628420098,0.0961995465983172,20.84776040118849,2.8615085354255543,2.693762089679325
00280000000000008744,Tier 1,5,0.7703491564325365,1.0063392305832348,1.0002168077383407,1.0,21.24893105191116,4,14.921313145653022,49,8.433184128671599,26.573526579729208,2058,14.117544185804789,4.217757838593357,3.3153152377428157,0.0066920703075394996,1.9427134317278698,0.7544620518848374,0.9808390092232793,0.2403396153514592,18.57723804467902,11.324012892541353,17.566378502669366
0028000000000000874a,Tier 4,7,0.5386137680658273,1.0633945498775932,0.8628877435718889,0.8536869767010633,385.06366801476213,6,42.10281398554922,4,20.021101742386424,0.0,1466,9.185266969393439,3.6546519207776953,13.707395798680546,4.88245387423658,20.39799031782455,0.5612846123420528,0.6857843488402244,0.1049675576794229,94.61792378333598,1.5766726875841186,3.2828574261041297
0028000000000000874d,Tier 1,5,0.7740394332668731,1.0040938451964354,1.000196623308026,1.0000000000000002,35.255084538459485,4,29.809674088783062,7,7.162565725322337,15.213475491095915,1576,41.98162805476481,11.60927695534751,4.250907725509359,0.011696081702387789,2.452682638968903,0.7827538379387978,0.9855376156197769,0.32277234321155746,23.87502037096718,17.56384857883266,2.155596693264073
0028000000000000874f,Tier 4,5,0.6950783073852572,1.0365272855403018,1.0001792765138136,1.0,28.457424268740617,4,48.756369140210154,3,35.94516982672842,0.07078770882738702,1486,30.399339293721198,20.987683713144236,4.22571985143392,0.008633963676313685,3.2878286957943437,0.4930028571741672,0.8850011876504924,0.29281905859089363,22.638189011078396,17.899684337432653,10.210608696233294
